Shopping;Endereço;Distrito;Região
Cevahir AVM;19 May?s | Büyükdere Cd. No:22|  34360 ?i?li/?stanbul|  Turquia;Sisli;Região Européia
Emaar Square Mall;Ünalan|  Libadiye Cd. No:88|  34700 Üsküdar/?stanbul|  Turquia;Uskudar;Região Asiática
Forum Istanbul;Kocatepe|  Pa?a Cd|  34045 Bayrampa?a/?stanbul|  Turquia;Bayrampasa;Região Européia
Istinye Park;P?nar|  34460 Sar?yer/?stanbul|  Turquia;Sariyer;Região Européia
Kanyon;Levent Mah|  Büyükdere Cd. No:185|  34394 ?i?li/?stanbul|  Turquia;Sisli;Região Européia
Mall of Istanbul; Ziya Gökalp|  Süleyman Demirel Blv No:7|  34490 ?kitelli Osb/Ba?ak?ehir/?stanbul|  Turquia;Ikitelli;Região Européia
Metrocity;Levent|  Büyükdere Cd. No:171|  34330 Be?ikta?/?stanbul|  Turquia;Besiktas;Região Européia
Metropol AVM;Ertu?rul|  Atatürk Mahallesi Ata?ehir Bulvar?|  Gazi Sokak|  34758 Ata?ehir/?stanbul|  Turquia;Atasehir;Região Asiática
Viaport Outlet;Yeni?ehir|  Dedepa?a Cd No:19|  34912 Pendik/?stanbul|  Turquia;Pendik;Região Asiática
Zorlu Center;Levaz?m|  Koru Sok. No:2|  34340 Be?ikta?/?stanbul|  Turquia;Besiktas;Região Européia
